ID_Produksi,Nama_Produk,Tanggal_Produksi,Jumlah_Produksi,Unit_Cost
PRD-001,Produk_1,2024-01-01,100,10.5
PRD-002,Produk_2,2024-01-02,105,10.6
PRD-003,Produk_3,2024-01-03,110,10.7
PRD-004,Produk_4,2024-01-04,115,10.8
PRD-005,Produk_5,2024-01-05,120,10.9
PRD-006,Produk_6,2024-01-06,125,11.0
PRD-007,Produk_7,2024-01-07,130,11.1
PRD-008,Produk_8,2024-01-08,135,11.2
PRD-009,Produk_9,2024-01-09,140,11.3
PRD-010,Produk_10,2024-01-10,145,11.4
PRD-011,Produk_11,2024-01-11,150,11.5
PRD-012,Produk_12,2024-01-12,155,11.6
PRD-013,Produk_13,2024-01-13,160,11.7
PRD-014,Produk_14,2024-01-14,165,11.8
PRD-015,Produk_15,2024-01-15,170,11.9
PRD-016,Produk_16,2024-01-16,175,12.0
PRD-017,Produk_17,2024-01-17,180,12.1
PRD-018,Produk_18,2024-01-18,185,12.2
PRD-019,Produk_19,2024-01-19,190,12.3
PRD-020,Produk_20,2024-01-20,195,12.4
